Age,Gender,Date,Outcome
21.0,Male,2021-03-01T03:11:45+00:00,True
42.5,Male,2021-03-01T04:23:20+00:00,False
21.0,Male,2021-03-01T04:40:31+00:00,False
21.0,Male,2021-03-01T06:51:16+00:00,False
21.0,Male,2021-03-01T08:19:05+00:00,False
29.5,Male,2021-03-02T01:52:58+00:00,True
29.5,Male,2021-03-02T01:55:50+00:00,False
29.5,Male,2021-03-02T02:57:35+00:00,True
42.5,Male,2021-03-02T03:31:07+00:00,False
21.0,Female,2021-03-02T09:03:39+00:00,True
29.5,Male,2021-03-02T12:46:19+00:00,False
13.5,Male,2021-03-03T02:25:05+00:00,False
29.5,Male,2021-03-03T03:59:19+00:00,False
42.5,Female,2021-03-03T03:59:49+00:00,True
13.5,Male,2021-03-03T04:27:42+00:00,False
,Male,2021-03-03T04:33:45+00:00,False
,Male,2021-03-04T04:28:30+00:00,False
29.5,Male,2021-03-04T04:31:37+00:00,False
42.5,Male,2021-03-04T05:00:26+00:00,False
21.0,Male,2021-03-04T06:58:04+00:00,True
29.5,Male,2021-03-04T06:58:24+00:00,False
29.5,Male,2021-03-04T07:06:42+00:00,True
29.5,Male,2021-03-04T07:59:31+00:00,True
29.5,Male,2021-03-04T08:49:11+00:00,True
21.0,Male,2021-03-04T09:55:30+00:00,False
21.0,Male,2021-03-04T12:25:15+00:00,True
21.0,Male,2021-03-05T01:17:34+00:00,False
42.5,Male,2021-03-05T04:28:46+00:00,True
21.0,Male,2021-03-05T05:55:48+00:00,True
21.0,Male,2021-03-05T06:01:52+00:00,False
29.5,Male,2021-03-05T07:36:29+00:00,False
29.5,Male,2021-03-05T07:52:06+00:00,False
13.5,Male,2021-03-05T08:33:27+00:00,False
29.5,Male,2021-03-05T09:18:42+00:00,False
29.5,Male,2021-03-05T09:48:31+00:00,True
21.0,Male,2021-03-06T02:12:33+00:00,True
21.0,Male,2021-03-06T02:22:15+00:00,False
21.0,Male,2021-03-06T02:27:02+00:00,True
42.5,Male,2021-03-06T02:41:54+00:00,False
21.0,Female,2021-03-06T03:46:47+00:00,False
